id,path,release,status,introducedOrChanged
API001,/api/health,25.0.0,implemented-local,inherited
API002,/api/ready,25.0.0,implemented-local,inherited
API003,/api/v1/config,25.0.0,implemented-local,inherited
API004,/api/v1/auth/status,25.0.0,implemented-local,inherited
API005,/api/v1/auth/register,25.0.0,implemented-local,inherited
API006,/api/v1/auth/login,25.0.0,implemented-local,inherited
API007,/api/v1/auth/logout,25.0.0,implemented-local,inherited
API008,/api/v1/auth/refresh,25.0.0,implemented-local,inherited
API009,/api/v1/auth/mfa/status,25.0.0,implemented-local,inherited
API010,/api/v1/auth/mfa/enroll,25.0.0,implemented-local,inherited
API011,/api/v1/auth/mfa/confirm,25.0.0,implemented-local,inherited
API012,/api/v1/auth/mfa/disable,25.0.0,implemented-local,inherited
API013,/api/v1/auth/mfa/recovery/consume,25.0.0,implemented-local,A3
API014,/api/v1/auth/mfa/recovery/regenerate,25.0.0,implemented-local,A3
API015,/api/v1/auth/passkeys,25.0.0,implemented-local,A3
API016,/api/v1/auth/passkeys/register/options,25.0.0,implemented-local,A3
API017,/api/v1/auth/passkeys/register/verify,25.0.0,implemented-local,A3
API018,/api/v1/auth/passkeys/authenticate/options,25.0.0,implemented-local,A3
API019,/api/v1/auth/passkeys/authenticate/verify,25.0.0,implemented-local,A3
API020,/api/v1/auth/passkeys/:id,25.0.0,implemented-local,A3
API021,/api/v1/secure-imports,25.0.0,implemented-local,inherited
API022,/api/v1/storage/status,25.0.0,implemented-local,A3
API023,/api/v1/delivery/providers,25.0.0,implemented-local,A3
API024,/api/v1/delivery-attempts,25.0.0,implemented-local,inherited
API025,/api/v1/jobs/delivery,25.0.0,implemented-local,inherited
API026,/api/v1/production-foundation/status,25.0.0,implemented-local,inherited
API027,/api/v1/jobs,25.0.0,implemented-local,inherited
API028,/api/v1/jobs/:id,25.0.0,implemented-local,inherited
API029,/api/v1/jobs/notifications,25.0.0,implemented-local,inherited
API030,/api/v1/production-notifications,25.0.0,implemented-local,inherited
API031,/api/v1/live-markets/catalog,25.0.0,implemented-local,inherited
API032,/api/v1/live-markets/status,25.0.0,implemented-local,inherited
API033,/api/v1/live-markets/candles,25.0.0,implemented-local,inherited
API034,/api/v1/live-markets/ticker,25.0.0,implemented-local,inherited
API035,/api/v1/session/context,25.0.0,implemented-local,inherited
API036,/api/v1/workspaces,25.0.0,implemented-local,inherited
API037,/api/v1/sessions,25.0.0,implemented-local,inherited
