route,canonicalAtlasMapping,implementationStatus,notes
auth-login,A4-ACCESS-AUTH-LOGIN,implemented-local,Real route family; 400/10000 atlases remain taxonomy only
auth-register,A4-ACCESS-AUTH-REGISTER,implemented-local,Real route family; 400/10000 atlases remain taxonomy only
auth-recovery,A4-ACCESS-AUTH-RECOVERY,implemented-local,Real route family; 400/10000 atlases remain taxonomy only
account-session,A4-ACCOUNT-ACCOUNT-SESSION,implemented-local,Real route family; 400/10000 atlases remain taxonomy only
security-setup,A4-ACCOUNT-SECURITY-SETUP,implemented-local,Real route family; 400/10000 atlases remain taxonomy only
passkey-center,A4-ACCOUNT-PASSKEY-CENTER,implemented-local,Real route family; 400/10000 atlases remain taxonomy only
account-recovery,A4-ACCOUNT-ACCOUNT-RECOVERY,implemented-local,Real route family; 400/10000 atlases remain taxonomy only
secure-import-vault,A4-OPERATIONS-SECURE-IMPORT-VAULT,implemented-local,Real route family; 400/10000 atlases remain taxonomy only
delivery-operations,A4-OPERATIONS-DELIVERY-OPERATIONS,implemented-local,Real route family; 400/10000 atlases remain taxonomy only
platform-readiness,A4-OPERATIONS-PLATFORM-READINESS,implemented-local,Real route family; 400/10000 atlases remain taxonomy only
live-markets,A4-LIVE-LIVE-MARKETS,implemented-local,Real route family; 400/10000 atlases remain taxonomy only
theme-personas,A4-EXPERIENCE-THEME-PERSONAS,implemented-local,Real route family; 400/10000 atlases remain taxonomy only
feature-universe,A4-EXPERIENCE-FEATURE-UNIVERSE,implemented-local,Real route family; 400/10000 atlases remain taxonomy only
about-qelly,A4-COMPANY-ABOUT-QELLY,implemented-local,Real route family; 400/10000 atlases remain taxonomy only
discovery-hub,A4-DISCOVER-DISCOVERY-HUB,implemented-local,Real route family; 400/10000 atlases remain taxonomy only
asset-rankings,A4-DISCOVER-ASSET-RANKINGS,implemented-local,Real route family; 400/10000 atlases remain taxonomy only
search,A4-DISCOVER-SEARCH,implemented-local,Real route family; 400/10000 atlases remain taxonomy only
categories,A4-DISCOVER-CATEGORIES,implemented-local,Real route family; 400/10000 atlases remain taxonomy only
venues,A4-DISCOVER-VENUES,implemented-local,Real route family; 400/10000 atlases remain taxonomy only
dex-discovery,A4-DISCOVER-DEX-DISCOVERY,implemented-local,Real route family; 400/10000 atlases remain taxonomy only
global-charts,A4-DISCOVER-GLOBAL-CHARTS,implemented-local,Real route family; 400/10000 atlases remain taxonomy only
converter,A4-DISCOVER-CONVERTER,implemented-local,Real route family; 400/10000 atlases remain taxonomy only
news-research,A4-DISCOVER-NEWS-RESEARCH,implemented-local,Real route family; 400/10000 atlases remain taxonomy only
trust-center,A4-DISCOVER-TRUST-CENTER,implemented-local,Real route family; 400/10000 atlases remain taxonomy only
asset-intelligence,A4-INTELLIGENCE-ASSET-INTELLIGENCE,implemented-local,Real route family; 400/10000 atlases remain taxonomy only
advanced-chart,A4-INTELLIGENCE-ADVANCED-CHART,implemented-local,Real route family; 400/10000 atlases remain taxonomy only
fundamentals-estimates,A4-INTELLIGENCE-FUNDAMENTALS-ESTIMATES,implemented-local,Real route family; 400/10000 atlases remain taxonomy only
filing-workspace,A4-INTELLIGENCE-FILING-WORKSPACE,implemented-local,Real route family; 400/10000 atlases remain taxonomy only
event-calendar,A4-INTELLIGENCE-EVENT-CALENDAR,implemented-local,Real route family; 400/10000 atlases remain taxonomy only
comparison-lab,A4-INTELLIGENCE-COMPARISON-LAB,implemented-local,Real route family; 400/10000 atlases remain taxonomy only
market,A4-INTELLIGENCE-MARKET,implemented-local,Real route family; 400/10000 atlases remain taxonomy only
rankings,A4-INTELLIGENCE-RANKINGS,implemented-local,Real route family; 400/10000 atlases remain taxonomy only
asset,A4-WORKSPACE-ASSET,implemented-local,Real route family; 400/10000 atlases remain taxonomy only
watchlist,A4-WORKSPACE-WATCHLIST,implemented-local,Real route family; 400/10000 atlases remain taxonomy only
alert-center,A4-WORKSPACE-ALERT-CENTER,implemented-local,Real route family; 400/10000 atlases remain taxonomy only
notification-center,A4-WORKSPACE-NOTIFICATION-CENTER,implemented-local,Real route family; 400/10000 atlases remain taxonomy only
screener-lab,A4-WORKSPACE-SCREENER-LAB,implemented-local,Real route family; 400/10000 atlases remain taxonomy only
portfolio-analytics,A4-WORKSPACE-PORTFOLIO-ANALYTICS,implemented-local,Real route family; 400/10000 atlases remain taxonomy only
research-workspace,A4-WORKSPACE-RESEARCH-WORKSPACE,implemented-local,Real route family; 400/10000 atlases remain taxonomy only
onboarding,A4-WORKSPACE-ONBOARDING,implemented-local,Real route family; 400/10000 atlases remain taxonomy only
notification-schedules,A4-WORKSPACE-NOTIFICATION-SCHEDULES,implemented-local,Real route family; 400/10000 atlases remain taxonomy only
