id,area,capability,status,evidence_or_boundary
A5-001,Identity and Security,"Registration, login, logout and refresh",implemented-local,Auth service and API routes
A5-002,Identity and Security,Signed HttpOnly cookie sessions,implemented-local,AuthService cookie issuance and tamper tests
A5-003,Identity and Security,Tenant-scoped organizations/workspaces,implemented-local,SQLite/PostgreSQL repositories
A5-004,Identity and Security,RBAC/ABAC and step-up boundaries,implemented-local,Inherited identity security runtime
A5-005,Identity and Security,Session-derived CSRF,implemented-local,Cookie identity APIs
A5-006,Identity and Security,Idempotent governed mutations,implemented-local,Inherited idempotency store
A5-007,Identity and Security,Tamper-evident audit ledger,implemented-local,Recursive hash-chain tests
A5-008,Identity and Security,Runtime JSON-schema validation,implemented-local,56 packaged request/response schemas
A5-009,Assurance,TOTP enrollment and confirmation,implemented-local,MfaService and frontend security setup
A5-010,Assurance,MFA secret encryption,implemented-local,AES-256-GCM SecretProtector; local key contract
A5-011,Assurance,Recovery code generation,implemented-local,Hashed recovery codes
A5-012,Assurance,Recovery code atomic consumption,implemented-local,Repository transaction and replay test
A5-013,Assurance,Recovery code regeneration,implemented-local,TOTP-gated API and account recovery UI
A5-014,Assurance,Passkey registration,implemented-local,WebAuthn ES256 none-attestation ceremony
A5-015,Assurance,Passkey authentication,implemented-local,Signature verification and cookie session issuance
A5-016,Assurance,RP ID and origin validation,implemented-local,PasskeyService checks
A5-017,Assurance,Challenge expiry and single use,implemented-local,Persistent auth challenges
A5-018,Assurance,Authenticator signature counter,implemented-local,Counter verification/update
A5-019,Assurance,Passkey revocation,implemented-local,Credential-specific DELETE endpoint
A5-020,Platform Persistence,SQLite development persistence,implemented-local,Executed in automated tests
A5-021,Platform Persistence,PostgreSQL repository parity,partial-contract,A1-A3 repository methods and migrations
A5-022,Platform Persistence,PostgreSQL migrations,partial-contract,100-102 SQL migrations packaged
A5-023,Platform Persistence,Redis job signaling adapter,partial-contract,Production adapter packaged
A5-024,Platform Persistence,Persistent jobs and retries,implemented-local,Worker and repository tests
A5-025,Platform Persistence,Dead-letter job state,implemented-local,Job queue contract
A5-026,Platform Persistence,Backup and restore scripts,implemented-local,Checksum-verified SQLite tooling
A5-027,Object Storage and Imports,Local object storage,implemented-local,Content-addressed files with SHA-256
A5-028,Object Storage and Imports,S3-compatible adapter,partial-contract,AWS Signature V4 implementation and contract test
A5-029,Object Storage and Imports,Secure import metadata,implemented-local,Tenant/workspace records
A5-030,Object Storage and Imports,Filename and size validation,implemented-local,10 MB boundary and normalization
A5-031,Object Storage and Imports,Malware test signature rejection,implemented-local,Foundation scanner
A5-032,Object Storage and Imports,Storage status API,implemented-local,Provider truth inspection
A5-033,Delivery,Persistent delivery jobs,implemented-local,Email/webhook job types
A5-034,Delivery,Delivery-attempt history,implemented-local,Repository-backed records
A5-035,Delivery,HMAC-signed webhook adapter,implemented-local,SHA-256 signature headers and test
A5-036,Delivery,Generic HTTP email adapter,partial-contract,Explicit authenticated provider interface
A5-037,Delivery,Local evidence sink,implemented-local,Development-only sink
A5-038,Delivery,Delivery provider status API,implemented-local,Truthful configured/disabled status
A5-039,Delivery,Worker operations UI,implemented-local,Delivery Operations route
