id,path,release,status,introducedOrChanged
API001,/api/health,27.0.0,implemented-local,inherited
API002,/api/ready,27.0.0,implemented-local,inherited
API003,/api/v1/config,27.0.0,implemented-local,inherited
API004,/api/v1/auth/status,27.0.0,implemented-local,inherited
API005,/api/v1/auth/register,27.0.0,implemented-local,inherited
API006,/api/v1/auth/recovery/request,27.0.0,implemented-local,inherited
API007,/api/v1/auth/recovery/status,27.0.0,implemented-local,inherited
API008,/api/v1/auth/recovery/reset,27.0.0,implemented-local,inherited
API009,/api/v1/auth/login,27.0.0,implemented-local,inherited
API010,/api/v1/auth/logout,27.0.0,implemented-local,inherited
API011,/api/v1/auth/refresh,27.0.0,implemented-local,inherited
API012,/api/v1/auth/mfa/status,27.0.0,implemented-local,inherited
API013,/api/v1/auth/mfa/enroll,27.0.0,implemented-local,inherited
API014,/api/v1/auth/mfa/confirm,27.0.0,implemented-local,inherited
API015,/api/v1/auth/mfa/disable,27.0.0,implemented-local,inherited
API016,/api/v1/auth/mfa/recovery/consume,27.0.0,implemented-local,inherited
API017,/api/v1/auth/mfa/recovery/regenerate,27.0.0,implemented-local,inherited
API018,/api/v1/auth/passkeys,27.0.0,implemented-local,inherited
API019,/api/v1/auth/passkeys/register/options,27.0.0,implemented-local,inherited
API020,/api/v1/auth/passkeys/register/verify,27.0.0,implemented-local,inherited
API021,/api/v1/auth/passkeys/authenticate/options,27.0.0,implemented-local,inherited
API022,/api/v1/auth/passkeys/authenticate/verify,27.0.0,implemented-local,inherited
API023,/api/v1/auth/passkeys/:id,27.0.0,implemented-local,inherited
API024,/api/v1/secure-imports,27.0.0,implemented-local,inherited
API025,/api/v1/secure-imports/quarantine,27.0.0,implemented-local,inherited
API026,/api/v1/secure-imports/:id/rescan,27.0.0,implemented-local,inherited
API027,/api/v1/secure-imports/:id/quarantine,27.0.0,implemented-local,inherited
API028,/api/v1/storage/status,27.0.0,implemented-local,inherited
API029,/api/v1/delivery/providers,27.0.0,implemented-local,inherited
API030,/api/v1/delivery-attempts,27.0.0,implemented-local,inherited
API031,/api/v1/jobs/delivery,27.0.0,implemented-local,inherited
API032,/api/v1/production-foundation/status,27.0.0,implemented-local,inherited
API033,/api/v1/platform/readiness,27.0.0,implemented-local,inherited
API034,/api/v1/security/secret-protection/status,27.0.0,implemented-local,inherited
API035,/api/v1/security/secret-protection/rewrap,27.0.0,implemented-local,inherited
API036,/api/v1/platform/assurance,27.0.0,implemented-local,inherited
API037,/api/v1/platform/assurance/concurrency,27.0.0,implemented-local,inherited
API038,/api/v1/platform/assurance/backup-restore,27.0.0,implemented-local,inherited
API039,/api/v1/platform/assurance/delivery-sandbox,27.0.0,implemented-local,inherited
API040,/api/v1/platform/staging-manifest,27.0.0,implemented-contract,inherited
API041,/api/v1/jobs,27.0.0,implemented-local,inherited
API042,/api/v1/jobs/:id,27.0.0,implemented-local,inherited
API043,/api/v1/jobs/notifications,27.0.0,implemented-local,inherited
API044,/api/v1/production-notifications,27.0.0,implemented-local,inherited
API045,/api/v1/live-markets/catalog,27.0.0,implemented-local,inherited
API046,/api/v1/live-markets/status,27.0.0,implemented-local,inherited
API047,/api/v1/live-markets/candles,27.0.0,implemented-local,inherited
API048,/api/v1/live-markets/ticker,27.0.0,implemented-local,inherited
API049,/api/v1/session/context,27.0.0,implemented-local,inherited
API050,/api/v1/workspaces,27.0.0,implemented-local,inherited
API051,/api/v1/sessions,27.0.0,implemented-local,inherited
API052,/api/v1/devices,27.0.0,implemented-local,inherited
API053,/api/v1/auth/step-up/simulate,27.0.0,implemented-local,inherited
API054,/api/v1/access/evaluate,27.0.0,implemented-local,inherited
API055,/api/v1/privacy/consents,27.0.0,implemented-local,inherited
API056,/api/v1/privacy/data-inventory,27.0.0,implemented-local,inherited
API057,/api/v1/market/overview,27.0.0,implemented-local,inherited
API058,/api/v1/rankings,27.0.0,implemented-local,inherited
API059,/api/v1/search,27.0.0,implemented-local,inherited
API060,/api/v1/search/suggestions,27.0.0,implemented-local,inherited
API061,/api/v1/assets/:id,27.0.0,implemented-local,inherited
API062,/api/v1/watchlist,27.0.0,implemented-local,inherited
API063,/api/v1/discovery/overview,27.0.0,implemented-local,inherited
API064,/api/v1/discovery/rankings,27.0.0,implemented-local,inherited
API065,/api/v1/discovery/categories,27.0.0,implemented-local,inherited
API066,/api/v1/discovery/categories/:id,27.0.0,implemented-local,inherited
API067,/api/v1/discovery/venues,27.0.0,implemented-local,inherited
API068,/api/v1/discovery/venues/:id,27.0.0,implemented-local,inherited
API069,/api/v1/discovery/dex,27.0.0,implemented-local,inherited
API070,/api/v1/discovery/dex/:id,27.0.0,implemented-local,inherited
API071,/api/v1/discovery/global-charts,27.0.0,implemented-local,inherited
API072,/api/v1/discovery/prediction-markets,27.0.0,implemented-local,inherited
API073,/api/v1/discovery/converter,27.0.0,implemented-local,inherited
API074,/api/v1/discovery/news,27.0.0,implemented-local,inherited
API075,/api/v1/discovery/research,27.0.0,implemented-local,inherited
API076,/api/v1/discovery/research/:id,27.0.0,implemented-local,inherited
API077,/api/v1/discovery/methodologies,27.0.0,implemented-local,inherited
API078,/api/v1/discovery/methodologies/:id,27.0.0,implemented-local,inherited
API079,/api/v1/discovery/coverage,27.0.0,implemented-local,inherited
API080,/api/v1/discovery/status,27.0.0,implemented-local,inherited
API081,/api/v1/discovery/saved,27.0.0,implemented-local,inherited
API082,/api/v1/discovery/saved/searches,27.0.0,implemented-local,inherited
API083,/api/v1/discovery/saved/screens,27.0.0,implemented-local,inherited
API084,/api/v1/discovery/saved/compare-tray,27.0.0,implemented-local,inherited
API085,/api/v1/providers/runtime,27.0.0,implemented-local,inherited
API086,/api/v1/providers/execute,27.0.0,implemented-local,inherited
API087,/api/v1/providers/:id/execute,27.0.0,implemented-local,inherited
API088,/api/v1/providers/:id/diagnostics,27.0.0,implemented-local,inherited
API089,/api/v1/entitlements/evaluate,27.0.0,implemented-local,inherited
API090,/api/v1/instruments/summary,27.0.0,implemented-local,inherited
API091,/api/v1/instruments/search,27.0.0,implemented-local,inherited
API092,/api/v1/instruments/resolve,27.0.0,implemented-local,inherited
API093,/api/v1/instruments/:id,27.0.0,implemented-local,inherited
API094,/api/v1/instruments/:id/relationships,27.0.0,implemented-local,inherited
API095,/api/v1/data-quality/incidents,27.0.0,implemented-local,inherited
API096,/api/v1/data-quality/overrides,27.0.0,implemented-local,inherited
API097,/api/v1/preferences/layout,27.0.0,implemented-local,inherited
