api_id,path,release,status
API001,"/api/health",23.0.0,implemented-or-inherited
API002,"/api/ready",23.0.0,implemented-or-inherited
API003,"/api/v1/config",23.0.0,implemented-or-inherited
API004,"/api/v1/auth/status",23.0.0,implemented-or-inherited
API005,"/api/v1/auth/register",23.0.0,implemented-or-inherited
API006,"/api/v1/auth/login",23.0.0,implemented-or-inherited
API007,"/api/v1/auth/logout",23.0.0,implemented-or-inherited
API008,"/api/v1/auth/refresh",23.0.0,implemented-or-inherited
API009,"/api/v1/production-foundation/status",23.0.0,implemented-or-inherited
API010,"/api/v1/jobs",23.0.0,implemented-or-inherited
API011,"/api/v1/jobs/:id",23.0.0,implemented-or-inherited
API012,"/api/v1/jobs/notifications",23.0.0,implemented-or-inherited
API013,"/api/v1/production-notifications",23.0.0,implemented-or-inherited
API014,"/api/v1/live-markets/catalog",23.0.0,implemented-or-inherited
API015,"/api/v1/live-markets/status",23.0.0,implemented-or-inherited
API016,"/api/v1/live-markets/candles",23.0.0,implemented-or-inherited
API017,"/api/v1/live-markets/ticker",23.0.0,implemented-or-inherited
API018,"/api/v1/session/context",23.0.0,implemented-or-inherited
API019,"/api/v1/workspaces",23.0.0,implemented-or-inherited
API020,"/api/v1/sessions",23.0.0,implemented-or-inherited
API021,"/api/v1/devices",23.0.0,implemented-or-inherited
API022,"/api/v1/auth/step-up/simulate",23.0.0,implemented-or-inherited
API023,"/api/v1/access/evaluate",23.0.0,implemented-or-inherited
API024,"/api/v1/privacy/consents",23.0.0,implemented-or-inherited
API025,"/api/v1/privacy/data-inventory",23.0.0,implemented-or-inherited
API026,"/api/v1/market/overview",23.0.0,implemented-or-inherited
API027,"/api/v1/rankings",23.0.0,implemented-or-inherited
API028,"/api/v1/search",23.0.0,implemented-or-inherited
API029,"/api/v1/search/suggestions",23.0.0,implemented-or-inherited
API030,"/api/v1/assets/:id",23.0.0,implemented-or-inherited
API031,"/api/v1/watchlist",23.0.0,implemented-or-inherited
API032,"/api/v1/discovery/overview",23.0.0,implemented-or-inherited
API033,"/api/v1/discovery/rankings",23.0.0,implemented-or-inherited
API034,"/api/v1/discovery/categories",23.0.0,implemented-or-inherited
API035,"/api/v1/discovery/categories/:id",23.0.0,implemented-or-inherited
API036,"/api/v1/discovery/venues",23.0.0,implemented-or-inherited
API037,"/api/v1/discovery/venues/:id",23.0.0,implemented-or-inherited
API038,"/api/v1/discovery/dex",23.0.0,implemented-or-inherited
API039,"/api/v1/discovery/dex/:id",23.0.0,implemented-or-inherited
API040,"/api/v1/discovery/global-charts",23.0.0,implemented-or-inherited
API041,"/api/v1/discovery/prediction-markets",23.0.0,implemented-or-inherited
API042,"/api/v1/discovery/converter",23.0.0,implemented-or-inherited
API043,"/api/v1/discovery/news",23.0.0,implemented-or-inherited
