path,category,extension,bytes,line_count,sha256,binary,prohibited_font_binary,risk,recommended_action
.dockerignore,other,[none],78,10,d13bf0e3503c96a8ff397cbff1778812b9e6aca4a0b49f3e99c4b63476c43028,false,false,,audit
.env.example,other,.example,1265,38,b2ba07b5767b32fb9554c44c80053c02929f34e8d05b92eecb5c7c08b7ea085f,false,false,,audit
.env.preview.example,other,.example,3253,93,1d6bec8d031b854e1e7cff687947bad7367d7d35abc6020662eedddbc34f9cd6,false,false,,audit
.env.production.example,other,.example,3269,94,1f9242f933713d57e018c1fcdd0c7fb96e6030a76c42b6dc0df35a8410ad300f,false,false,,audit
.env.staging.example,other,.example,209,4,2b9239ea2c4e9bf75761b0ba27b70fb0d5699a243bd0ce3f76069d7a3fd09981,false,false,,audit
.github/dependabot.yml,other,.yml,257,13,06c866a85cd0a1c3d033f0d3774ae43993506bca4984d095de7e6ab53cac95c6,false,false,,audit
.github/ISSUE_TEMPLATE/bug_report.yml,other,.yml,929,38,3bdb1fb386b0700d2fc8e9335df1b14f6ce45e80174755cb777ffc2ed5fb29af,false,false,,audit
.github/ISSUE_TEMPLATE/feature_request.yml,other,.yml,676,29,48ea7903fde5cbb52e3b4d5eeb9e7889299965165d30e214946beef726ce9d0d,false,false,,audit
.github/pull_request_template.md,other,.md,527,21,295e158116118c071261f25687eba1165218422d8358b519b39c1cd58a46d663,false,false,,audit
.github/workflows/ci.yml,workflow,.yml,3189,95,976ba6c6d12617deab18a86d747ef7cad5bf16f329036edb195735637266f5a2,false,false,,audit
.github/workflows/codeql.yml,workflow,.yml,953,38,b62328708a9b93f98bafc993b930883771234caacd67069e6c8962005c2ecf40,false,false,,audit
.github/workflows/container.yml,workflow,.yml,2953,93,46a60cbdcf5d1dfe2156cd63e296282647afa642d8a3703d162c735ef7e144ea,false,false,,audit
.github/workflows/font-comparison.yml,workflow,.yml,2407,59,09d42e1b14314dd3210a3f8532c56f6329a200205d1a6cad4248eb8115add398,false,false,,audit
.github/workflows/logo-brand-review.yml,workflow,.yml,8716,194,2671cfd16d81ae8ecd4b38a11577ff0fb4079caffaefde485ddcceedc4f35b80,false,false,,audit
.github/workflows/logo-brand-visual-correction-review.yml,workflow,.yml,7838,166,72bcd9434e1957b3e867422b904e0220106375cfa7c861fa769db5ffa68f770b,false,false,,audit
.github/workflows/pages-preview.yml,workflow,.yml,2246,76,7fdfc2dced05154dd57242539181cddc9eab689e01dfa8c7c33cb9d595ce7483,false,false,,audit
.github/workflows/production-foundation-services.yml,workflow,.yml,2352,76,ef698e1a031ad78c6cdcc3f94e21bfb95f8ba75ec3b6488cf8ffc8c48c64e552,false,false,,audit
.github/workflows/prompt2a-wave0-audit.yml,workflow,.yml,6710,167,590c1556fe7f3ea1b9a5a7eb5e9c78c340949c06c11e019604eb5ec6d7b5b66f,false,false,,audit
